CODIGO DEL PRODUCTO;NOMBRE PRODUCTO;UNIDAD;PRESENTACION;TEMPERATURA;PRECIO EXWORK 2022;TIPO
130210005M;MAGLUMI anti-HBc;KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;52.25;REACTIVO
130210007M;MAGLUMI anti-HAV;KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;95.00;REACTIVO
130210008M;MAGLUMI HAV IgM;KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;114.00;REACTIVO
130212001M;MAGLUMI Toxo IgG;KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;118.75;REACTIVO
130212002M;MAGLUMI Toxo IgM;KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;118.75;REACTIVO
130212003M;MAGLUMI Rubella IgG;KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;118.75;REACTIVO
130212004M;MAGLUMI Rubella IgM;KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;118.75;REACTIVO
130212005M;MAGLUMI CMV IgG;KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;118.75;REACTIVO
130212006M;MAGLUMI CMV IgM;KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;118.75;REACTIVO
130212007M;MAGLUMI HSV-1/2 IgG;KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;118.75;REACTIVO
130212008M;MAGLUMI HSV-2 IgG;KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;118.75;REACTIVO
130212009M;MAGLUMI HSV-1/2 IgM;KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;118.75;REACTIVO
130201026M;MAGLUMI HER-2 (CLIA);KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;290.00;REACTIVO
130201027M;MAGLUMI H, pylori IgM;KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;114.00;REACTIVO
130201028M;MAGLUMI H, pylori IgA;KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;114.00;REACTIVO
130201021M;MAGLUMI H, PYLORI IgG;KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;114.00;REACTIVO
130219003M;MAGLUMI SYPHILIS ;KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;95.00;REACTIVO
130219001M;MAGLUMI CHAGAS;KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;95.00;REACTIVO
130219004M;MAGLUMI HIV Ab-Ag Combi;KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;142.50;REACTIVO
130215001M;MAGLUMI EBV EA IgG;KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;118.75;RUO
130215002M;MAGLUMI EBV EA IgA;KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;118.75;RUO
130215003M;MAGLUMI EB VCA IgG;KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;118.75;REACTIVO
130215004M;MAGLUMI EB VCA IgM;KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;118.75;REACTIVO
130215005M;MAGLUMI EB VCA IgA;KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;118.75;REACTIVO
130215006M;MAGLUMI EBV NA IgG;KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;118.75;RUO
130215007M;MAGLUMI EBV NA IgA;KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;118.75;RUO
130203009M;MAGLUMI TRAb;KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;163.40;REACTIVO
130203008M;MAGLUMI TMA;KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;118.75;REACTIVO
630003;MAGLUMI Reaction Modules (2304 tests);CAJA;933cceaa-97bb-41a4-847e-e678e122cf7d;AMBIENTE;83.00;CONSUMIBLE
130105000101;MAGLUMI Reaction Cup (546 Cups/box);CAJA;245756a3-b928-40c0-b59f-6bffe38b559e;AMBIENTE;20.90;CONSUMIBLE
130299004M;MAGLUMI Starter Kit 1+2 (1box=6 viales);CAJA;7322c4f3-02ed-4810-9214-63171ae0e995;AMBIENTE;100.00;CONSUMIBLE
130299005M;MAGLUMI Wash/System Liquid ;FRASCO;41112822-de4d-49b5-b480-47e8c5a73197;AMBIENTE;18.00;CONSUMIBLE
130299006M;MAGLUMI Light Check (1 box=5 vials);CAJA;5c779f82-2cef-411c-884a-c58c44a44581;;25.00;REACTIVO
